trajectory_nodes,trials,min_spiral_ratio,median_spiral_ratio,violations_below_1
3,999,1.0,1.7530613311400924,0
5,1000,1.2711804907848723,4.0855206832909055,0
8,1000,2.035314373045813,7.304557230147331,0
13,1000,3.634867296864209,12.236339915530468,0
