setting,trajectories,median_states,median_questions,median_spiral_ratio,median_path_length,median_displacement
AskMind,3226,3.0,2.0,1.6481365420104275,1.1319426226222558,0.655414138542604
AskOverconfidence,3321,2.0,1.0,1.0,0.5153072327393446,0.45571688445035474
