representation,n,spiral_coef_std,spiral_wald_p,likelihood_ratio_chi2,likelihood_ratio_p,delta_aic_baseline_minus_spiral,lr_fdr_q
char-ngram hash,3226,0.14909223639692262,0.07385963209925914,3.9826327066848535,0.04597165686528786,1.9826327066848535,0.05746457108160983
word TF-IDF,3226,0.41285664729276245,3.6073657189695524e-06,21.470410788640947,3.5933071877797073e-06,19.470410788640947,1.7966535938898536e-05
LSA-256,3226,0.22211329468753868,0.0013564254603799777,9.834151771441611,0.0017130125813537582,7.834151771441611,0.0032272359831529277
binary Jaccard,3226,0.777619484332744,0.0018627236667682035,9.608923123447312,0.0019363415898917568,7.608923123447312,0.0032272359831529277
random-text control,3226,-0.5044760023043199,0.15270820096742033,2.0571150650739582,0.15149675616408365,0.05711506507395825,0.15149675616408365
