setting,feature,mean_correct,mean_incorrect,effect_r,p_value
AskMind,path_length,1.1967971020418322,1.2832633997501153,-0.14298355194669998,0.22687924657576153
AskMind,displacement,0.651756298541822,0.6772686848826663,-0.1187018530085363,0.3157646044981338
AskMind,spiral_ratio,1.9227548592455483,1.927281647088057,-0.10630074953154278,0.3539438518756254
AskMind,turn_curvature,0.31843370103117097,0.3891473036200644,-0.1163725796377264,0.3101982929583734
AskMind,return_fraction,0.20976473037684779,0.27777777777777773,-0.14350405996252347,0.18133994826735034
AskMind,n_questions,2.1405371642723297,2.2916666666666665,-0.11344472204871958,0.31418755879617677
AskOverconfidence,path_length,0.662836051392058,0.5551358619742894,0.10140557893366875,0.3548447459719758
AskOverconfidence,displacement,0.45667334075904725,0.4743396627717287,-0.12953884863997223,0.23722526049581316
AskOverconfidence,spiral_ratio,1.5164484255995903,1.1800171914703637,0.16732462799878522,0.05725519063871436
AskOverconfidence,turn_curvature,0.17772933972800117,0.07695456032514088,0.16615331222072793,0.05901967727017085
AskOverconfidence,return_fraction,0.10572932483044842,0.03571428571428571,0.14259685046201898,0.06803392355716699
AskOverconfidence,n_questions,1.3638020042514425,1.1428571428571428,0.1579107197084726,0.0697455295058297
